Interactor 1	Interactor 2
Ras85D	MESR4
pnr	CG12084
Rbfox1	enc
Ret	dia
dor	w
grim::rpr	Diap1
Paip1	bsk
DCTN1-p150	Su(Gl)160
Doa	bam
moi	tefu
egr	Uba1
hpo	trc
pan	wg
Pink1	Duox
Pink1	ref(2)P
trx|ash1	Scm
dx	Kap-α3
br	E(br)24
bchs	dor
Cul5	Cul2
z|w	e(y)3
Dys	stan
DCTN1-p150	TM9SF4
Ras85D	ave
r	CRMP
rad50	aurA
S6k	Hr3
Tak1	nmo
Spn28Dc	Hayan
Gug	eve
gig	Rbf
stumps	Sar1
shtd	CycA
Pc	kis
pbl	Vps13
coro	dpp
Bg	Bar
dom	tara
N	tra
prg	fwe
repo	Tre1
rpr	CG1503
bru1	S
Prosα2	Prosβ6
TBPH	rump
slo	Fas2
park	Uch|Trim9
p53	CycE
Gug	ft
bw	Mod(Prat:bw)3-10
Dp|E2f1	spen
EcR	tal
btl|stumps	Tao
Rab8	Hrs
mbl	Dp
rux	Rca1
Antp|Pc	trx
Bx	Kr
Sxl	msl-1
Rbf|yki	hth
Xbp1	foxo
Stim	N
Zif	l(2)gl
gl	N
Bar	mb
RacGAP84C	kis
pb	Scr
Rac1	Arf6
Smox	Srr
hh	snama
orb2	brat
Ret	Ras85D
Pi3K92E|btl::Egfr	Ldh
Acsl	Rab11
ro	Su(ro<up>DOM</up>)345
ci	hh
px	emc
Hsc70-5	Atg1
Lfg	Buffy
RpS3|yki	Diap1
rg	bul
hid	CG3251
trp	Nmnat
ALiX	POSH
hid	Cdk7
chm	kay
lok	EP2522
Lkb1	sqh
Smn	htl
pnr	Dsp1
Su(z)12	esc
Sox100B	Sox21a
exp	Raf
Myc	sc
Tcs5	Cdc42
nanos	Tao
gro	dgrn
Det	CycB
slo	dlg1
tara	CycA
Sbf	Pi3K68D
park	srl
put	Raf
su(Hw)|y	Scm
rod	puc
Tak1	spoon
fry	mew|mys
egr	wg
Nab2	fz
cnc	bam
Tm1|osk	E(To)9
trol	CycE
porin	Marf
dco	wts
hppy	Pi3K92E
tau	Eb1
Stoml2	park
mTor	Myc
Smox	Vajk2
hid	bsk
E(spl)mγ-HLH	Cdk9
kn	Egfr
Ret	l(3)S142909
PXo	bsk
spn-B	lok
baz	asp
HDAC3	His4
ct	e(y)2
ft	rho
enc	rux
BEAF-32	kto
αTub84B	futsch
Myc	yki
rpr	nmo
vn	Bap170
kay	dia
CycE	pnt
dsh	Delta
Ubr3	ck
dlp	dpp
l(3)mbt	pum
Egfr::tor	sens
Prx4	Diap1
S6KL	Mad
N	mahe
Gug	hkb
comm	elav
Pink1	Pyk
arm	ft
upd1	Cip4
btl|stumps	Isha
ref(2)P	mPges2
sei	dnc
p115	Cdk1
LIMK1|hid	Myo31DF
scrib	pan
sei	cac
ro	Dfd::ro
Nup44A	Tsc1
dnr1	Rel
Diap1	Dcr-2
stj	stol
H	Past1
Cul1	InR
Bar	Su(var)3-9
Cul1	Thor
ct	bdwf
Tctp	Top2
Nsf2	GS5071
Pak	Rac1|Rac2
Su(var)3-3	barr
CycE	S(CycE<up>JP</up>)2.4
brm	Tm2
Nab2	hrg
Hsc70-5	Atg8a
sina	SS3-6
synr	Atg2
Mlp84B	sls
sgg	tws
pnr	EP2595
Nsf2	CG7492
Tsc1	nero
Mitf	Vha26
rg	sv
dom	Tudor-SN
Abd-B	pb
Marf	Gdap1
Pi3K92E|btl::Egfr	Cdk4
fz	Jra
Ras85D|dlg1	sd
Delta	Kap-α3
N	ifx
Psn	dpy
Nsf2	Syx16
m	Yif1
shg	shg::Mmus\Cdh1
Delta|lola|psq	HDAC1
trx	EloC
hid	CSN5
sds22	Timp
osi	Lip3
gcm	osa|brm
prd	gsb::prd
lola|psq|Delta	Rbf
nanos	Dcp-1
lqf	Rala
Trc8	CSN5
REG	Diap1
bw	Mod(Prat:bw)Y-1
Incenp	borr::Incenp
chico	PIP4K
trp	Arr2
trx|brm	Sam-S
Trf2	CG2617
peb	Coprox
fy	fz
kuz	dap
pnr	CG3776
jeb	Alk::Hsap\NPM1
TER94	bsk
rho	sty
Diap1	InR
Snr1	N
trol	vkg
Dcp-1	Uba1
Vav	shg
pan	ovo
PolA1|mei-41	CycA
Ilp4	Akt
Snr1	GluRIIB
hh	krz
yki	zfh2
Rab8	Tak1
pths	Nprl2
LIMK1|Dronc	Myo31DF
H	aos
Nf1	Ras85D
Octβ2R	Oamb
bw	Hpr1
Sirt1	N
Nsf2	Rbf
ph-d	corto
Cisd	ref(2)P
shot	pnut
Cln3	Rok
RanGAP	piwi
Ras85D	Elp4
fz	fz::fz2
IKKε	nuf
peb	dom
egr	PpV
Ras85D	EK2-7
ph-p	tou
Cad99C	Traf-like
Smox	CG13083
lola|psq|Delta	DEF8
Arl2	msps
Coa7	asRNA:CR43467
E(spl)mβ-HLH	emc
en	dpp
kat-60L1	par-1
smo	E(smoDN)871
if	how
RhoGAPp190	pbl
grim	X11L
bw	mir-ban
Sulf1	ptc
sd	kay
shtd	ida
hop	PPO3
y	Cp190
Pp2B-14D	galectin
trio	Pak
Vang	dsh
Rab21	mtm
Lrrk	mTor
dom	wrd
SCAR	WASp
H	boss
Rala	Traf4
mir-31a	Rchy1
Dys	v(2)k14204
Bx	ppl
Rbf	CycE
Kr	l(3)neo39
slbo	btl
E(z)	Egfr
Acox1	Cat
Nsf2	phtf
Sox21a	upd2
Actn	Dcr-2
Rap1	dap
ftz	hth
png	Pp1-87B
Egfr|psq	SCAR
hep	alph
ro	H
CycE	ft
bi	p38b
Yip1d1	Nrg
FIG4	asRNA:CR43467
Wdr24	Nprl2
Psn	Itpr
N	snama
sina	rl
jus	E(sda)A
norpA	inaC
Csk	Rho1
rpr	Dredd
chinmo	dsx
Egfr	spz
Scox	p53
InR	B4
E(spl)m8-HLH|N	Delta
hep	dsh
aop	stg
Hsc70-5	Atg7
arm	CycA
Pi3K92E|btl::Egfr	Drak
Mer	Tao
InR	N
RhoGAP19D	aPKC
mir-124	Fmr1
Dref	l(1)G0196
ro	Su(ro<up>DOM</up>)1993
mir-279	mir-996
Ret	Jra
lncRNA:roX1	AGO2
Ras85D	CCT4
miple1	arm
btl::Egfr	CG7231
Myc	Pfk
Nsf2	GS1027
Pc	jing
Egfr	Rabex-5
ZnT86D	Atg9
lqfR	InR
PNUTS	RpL27A
Det	hts
bw	Mod(Prat:bw)1-5
slo	dnc
Ras85D	Sec15
sev	tsr
rpr	JMJD6
Smox	Acf
brat	trx
fzr	Ndfip
Tak1	Timp
Pvr	ball
Ret	Sos
al	sbb
rpr	α4GT1
N	Cdk9
dgo	Akap200
pnr	EP3087
Tsc1	foxo
Tom20	Pink1
stwl	p53
Nak	Nrg
bchs	Syx13
Droj2	Nrg
shg	shg::Rnor\Cd2::α-Cat
hep	wg
trx|ash1	mxc
wupA	Su(2)E
Caf1-105	mam
Cat	p38a|p38b
mio	Tsc1
yki	NO66
Dronc	Erasp
Pen	Fs(2)Ket
Axn	tum
Ras85D|l(2)gl	fmt
pbl	RhoBTB
Cul1	brat
wg	spi
shot	Khc
Hsc70-5	Syx7
Zip71B	Zip88E
ap	su(Hw)
Su(var)3-3	ken
baz	Tmem63
CycE	S(CycE<up>JP</up>)2.13
ct	ss
Moe	puc
skd|Scr	MED17
N	Ero1L
cindr	Arp3
Raf	mam
Mlf	Su(fu)
Rab7	Rab11
mam	wdb
erm	brm
egr|bsk	Tace
pbl	wun
sev|Ras85D	Trl
Octβ2R	Pka-C1
Pcl|Su(z)12	Pgi
Ras85D	spi
pk	CG18858
smo	E(smoDN)2590
fzr	CycE
Cph	cas
spdo	fng|numb
awd	Catsup
lola|psq|Delta	RhoGAP68F
Hsepi	sfl
peb	InR
Pax	EcR
Smox	Oseg5
slpr	Jra
egr	Uev1A
kay	Lam|dia
Ras85D	IntS3
fwe	Diap1
rho	ed
Gr63a|Ir64a	Gr21a
Jra	puc
N	RpL15
Bx	SERCA
bw	Mod(Prat:bw)2-5
Rbf	hep
Tnks	Axn
Ras85D	Egfrap
spn-A	DNAlig4
Dfd	opht
Egfr	Su(tor)1-1
px	bs
Nipped-B	Mi-2
PolA1|mei-41	p53
Dcp-1	Eip78C
kis	EloA
Ras85D	wupA
kek1	Egfr
hh	BRWD3
Ciao1	Diap1
Traf-like	ACC
lz	Bro::Hsap\MYH11
fmt	bsk
mam	Atg1
Rel|spz	BaraA1
Rala	Rgl
Vps25	Stat92E
upd1	pie
Tao	par-1
Rab8	tkv
btl|stumps	EP1207
CycE	dlg1
Dhpr	Pu
hid	DCAF12
sl	drk
frac	LIMK1
Atf3	kay
rpr	CSN5
png	eEF5
gcm	dome
sd	trx
bchs	hook
babo	CycA
Uch	Roc1a
sog|tsg	tld
Rala	kay
Klp10A	Patronin
DAAM	ena
Diap1|hid	Dark
Vps29	TBC1D5
Ret	dj-1β
wg	ken
shi	Synj
Tsp	fon
rpr	Usp15-31|Dronc
Mad	rl
RPA3	numb
fng	Delta
Dg	kis
bw	His3.3B
gt	tsh
ap|Bx	osa
SERCA	RyR
pr	su(pr)
tna	γTub23C
upd1	crb
BicD	EndoA
trol	bnl
sds22	zip
seq	bnl
sws	per
Cdc42	Ack
Ras85D	CG7483
gbb	sog
pnr	mir-278
ct	fs(1)h
Ras85D	CoRest
Dsor1	Su(phl)7
elav	fne
Raf::tor	phyl
sens	S(ls)7
N	msi
Nsf2	CG1806
hyx	polo
Dronc	lncRNA:Hsrω
slbo	Abl
Pten	Acn
mira	shot
Brca2	aurA
Graf	rl
Bx	Spn88Eb
Hsc70-5	Atg12
shrb	ais
N	Rab6
brm	CG3662
lola|psq|Delta	Rap1
Eogt|Dcr-2	r
w	ph-d
Ras64B	aos
shakB	Inx7
mirr	CycE
S2P	Drice
Lsd-2	Diap1
Ret	hh
shtd	mr
Clbn	hid
Rho1	CE3-1
nmo	spi
bw	Dek
nmo	pk
trx	Kdm2
lok	grp
ro	amos
brat	mor
siz	NetB
ct	e(y)3
InR	HDAC3
Bbd	Myd88
Prosα6	Stat92E
pbl	pum
H	Rac2
Snr1	CG15012
Ubx	vir
vtd	dl
Rab8	POSH
Dsor1	ER2-4
Egfr	ovo
eas	FASN1
aux	Syx17
YME1L	Dronc
hpo	bun
shi	stan
tkv	Med
Abca3	hpo
Dhpr	Opa1
Rac1	Diap1
dlg1	imd
kibra	Diap1|CycE
qsm	kon
aos	EM3-1
ksr::tor	Egfr
Calx	trp
Src64B	Ras85D
J	M(3)69E
Egfr	Sos
btl|stumps	lilli
dsh	Moe
Csk	cpb
sno	ct
Nmnat	Sarm
L	Bar
sc	E(spl)m8-HLH::hry
eve	beat-Ia|unc-5
Fmr1	wit
Crag	Rab11
Sox21a	hep
Rel	foxo
Delta	Fkbp14
Cul1	Tsc1|gig
foxo	whd
Rac1	Rab11
Kr	rept
sei	dlg1
Mbs	zip
foxo|wdb	mts
Pc|ph-p	Marcal1
Ilp6	Tl
kon	Wnt5
vvl	D
eas	tau
Egfr|psq	Nrg
Trl	msl-1|msl-2|mle
Bro::Hsap\MYH11	run
Smn	CG10171
slpr	slpr::Tak1
Nsf2	RhoBTB
park	GstS1
Pi3K68D	Mp
Ras85D|l(2)gl	wg
chb	shot
mbl	nonA
Nsf2	lola
wg	Ret
eve	Fas2
Delta|lola|psq	E(z)
Cdc42	fra
Pp2B-14D	Galk
btl|stumps	ago
spz5	Vap33
Src64B	Mkp3
dap|Rbf	E2f1
hop	awd
Psn	γTub23C
robo1|sli	ena
Dsor1	SR3-6
Rok|Rho1	sqh
Apc	ewg
pb	skd
park	Cisd
RpL27A|l(2)gl	bsk
Sirt1	Delta
nej	Pfas
Adss	AMPKα
Pu	shi
Kdm5	Ptp61F
drpr	hep
Pten	chico
lok	trx
ct	Scm
rod	msl-1
Hipk	Delta
Cdc42	poe
okr	trem
hpo	ena
Zfrp8	pnr
Spn27A	PPO1|PPO2
FASN1	Cds
scrib|cno	Ras85D
drk	Raf
peb	eIF4A
Pcl	Sirt1
Dcp-1	Eip74EF
rho	Gug
rpr	pnut
htl	Egfr::htl
Vps4	Ras85D
pnr	Akap200
Pi3K92E	RpL38
kuz	robo1|sli
dom	lola
bw	Chd1
Snr1	CG4968
ry	ZnT41F
mbl	jumu
brun	Rab11
Dronc	mir-14
Cul5	Cul3
z|w	Taf9
hid	nito
daw	put
ninaE	Cdc42
nej	ey
DCTN1-p150	Coop
tsh	wg
trx|brm	Su(z)4
Ras85D	SR3-7
Rho1	hep
tws	arm
serp	verm
Dref	Diap2
Pcl	htt
Rheb	raptor
Hsc70-4	Rme-8
btl::Egfr	CG1090
nmo	arm
pnr	cbt
pnr	Nab2
L	nej
RhoGAP100F	trio
svp	Raf::tor
Rbf|psidin	Raf
peb	l(2)k10113
cmpy	Mad
Dfd	apt
ec	S
Apc	ninaA
stet	dally
EcR	Diap1
Atg16	robo2
Fen1	fzy
MAN1	gbb
Idh	Dronc
csw	Mad
Dcp-1	ninaA
Dfd	tsh
flw	upd1
Alg3	grnd
Egfr	brm
yki	tkv|Mad
Pink1	mfrn
sev|Ras85D	l(3)06265
vg	wg
pbl	CG10222
dpp	p53
smi26D	Pino
Sulf1	Notum
rictor|Pink1	Atg1
pbl	Rap1
Snr1	CAH1
Vps25	Diap1
up	Tm2
rpr	Psn
mael	Klc
PRAS40	Rheb
L	EP2370
E(Mer)IIIa	Mer
wts	CycA
asp	sqh
Cul1	dpn
fh	GLaz
mam	klu
Set2	EcR
Ras85D	l(2)gl
Hayan	Irc
RhoGAP19D	scrib
pnr	stg
sfl	tkv
acs|foxo	Akt
zip	chic
PXo	mts
en	hth
ttk	lz
ssh	RhoGEF2
Ret	stg
wg	lgs
jus	E(sda)L
Ras85D	EY2-6
Csk	puc
bowl	Dcr-2
cnk	Bre1
FER	puc
erm	Doc2|tll|otp
tna	skd
Delta	RhoGAP68F
GlyRS	corolla
salsa	grk
N	Sox100B
CycE	drk
Wnk	Ncc69
nanos	skl
slbo	EP2585
Tbce	mad2
bchs	Atg1
lok	Cam
boi	hh
Kr	Sema2a
vn	ap
shi	CDase
sr	ap
kermit	Vang
PTP-ER	Mkp3
exp	Egfr
InR	nclb
spn-A	aurA
E2f1	Su(z)2
btl::Egfr	Ubx
thr	Spc105R
pnr	EP1125
pnr	EP3283
LanA	scb|sli
Pdf	Dh31
Dronc	sgg
Tace	Sod2
w	Gas41
put	NiPp1
tll	amon
Chi	gro
pbl	CG32812
kon	Ptp69D
aos	ebi
Debcl	Uba1
N	E(spl)m8-HLH::E(spl)mδ-HLH
Ppt1	bchs
spoon	bsk
eas	mei-P26
Rac1	grp
Eaat1	kay
Kdm2	Kdm5
dlg1	Su(z)2
C1GalTA	rpr
Rbfox1	Mhc
L	Diap1
CycE	Med|dpp
Pink1	mask
comm	Abl::Hsap\ABL1::Hsap\BCR
step	zip
Fmr1	dlp
CanB|Pp2B-14D	CE3-2
N|E(spl)m8-HLH	ato
RhoGAP18B	Rho1
lab	abd-A
Pez	hpo
mxc	dom
bchs	ca
gcm	hop
lilli	Pten
N	lolal
robo1	RhoGEF64C
Vno	Egfr
Delta	cic
Abi	wit
spz5|NT1	Tl
Kr	osa
foxo	dj-1β
btl|stumps	Amun
Pc	dom
S	e(S)r
cher	Sema1a
pnr	MESR4
wupA	fwe
yki	RnrL
Sh	mle
kay	TM4SF
aos	Gug
hpo	RtGEF|Git
Dcp-1	psq
mwh	in::mwh
Npl4	TBPH
Ets97D	srl
ham	HDAC3
rl	Caper
sev|Ras85D	osa
Delta	Su(H)
E2f1	Su(E1)-B
arm	lilli
Hip14	Csp::nSyb
Kap3	Klp64D
smo	E(smoDN)1333
ph-p|y	Su(y)P31
chb	sip2
mira	Su(Mir)2C2-1
Scgδ	Med
dom	EcR
kirre	Rho1
DAAM	fz
ninaE	Xbp1
dnd	Sec5
tum	CycE
chm	Abd-B|Pc
pgc	CycB
brat	brm
5-HT1B	cry
Lsd-1	Lsd-1::Lsd-2
siz	Arf1
α-Cat	α-Cat::shg
Su(Tpl)|lilli	Delta
sd	piwi
eIF4E1	cup
Nf1	Lztr1
Apc	Src42A
Ir56b	Ir25a
egr	Traf6
crb	β-Spec
Rbf|Stam	E2f1
jvl	spn-F
Ret	crb
Ras85D	EY2-5
babo	esg
stnB	AP-2μ::stnB
Zip42C.1|ZnT63C	Catsup
ken	tll
Myc	Ets97D
faf	aop
Egfr	l(3)06803
brat	Pop2
Pink1	Fundc1
Acn	PpY-55A
Snap29	Socs36E
Dys	msk
cindr	bsk
Smox	bun
trx|brm	pho
rpr	DCAF12
para	SLO2
Caf1-180	asf1
ptc	hyx
sev|Sos	ebi
lbe	eve
trc	Nak
Dad	tkv
ninaE	lola
sv	Myc
tko	srl
dom	CG8924
svp	Kr
ninaE	hiro
bchs	Uba1
Rac1	Diap2
mir-ban	Egfr
Abl	wit
LamC	GstD4
shg	Fas3
yki	N
Myc	Pi3K59F
gcm	lola
CycA	CycE
Ser	rho
N	Nrt
Tis11	Pop2
w|z	Taf9
CG42709	H
N	CycE
RecQ5	lok
spidey	Pi3K92E
sno	Atg4b
Rab11	Tak1
RanGAP	Ran
AdamTS-B	spi|Krn
lace	arm
bw	XNP
nmo	Jra
sog	Smurf
br	E(br)65
Ge-1	DCP1
sli	robo2
Cp190	sqh
Ras85D|scrib	Sec15
hid	Dronc|Decay
Dys	CG4496
robo3	robo1
N	Mtl|Rac1|Rac2
Acn	mts
aos	nmo
dpn	pros
Tab2	POSH
Nrx-1	Nlg2
Wnt5	Rac1
Ubx	Cap-H2
l(2)gd1	car
dom	N
Ca-β	Dronc
lz	E(lz)205
r|b	CRMP
Pc	Abd-B|chm
Mad	eya
Atg1	htt
gcm	E(z)
Snr1	daw
Ras85D	uri
Pi3K92E	srl
cuff	lok
trx|brm	E(Pc)
hop	Dsor1
dpp	mxc
Cbl	aos
Lrrk|foxo	Diap1
Dys	l(2)k10317
nanos	tkv
Bx	Tnks
yki	ex|wts|hpo
DCTN1-p150	aPKC
Raf	ER2-3
H	bchs
LamC	AMPKα
Pect	Pisd
ncd	γTub37C
ninaE	Mekk1
Src42A	puc
frtz	in
Eph	Reph
peb	tkv
aos	cd
l(2)gd1	aph-1
Pect	Miro|Pisd
Atg9	Atg7
br	Tm1
CTCF	mod(mdg4)
Ras85D	Tep4
br	Sb
Raf	EMC1
dpp	hh
Lkb1	Sln
qvr	Gabat
sl	Akt
ND-75	Akt
Nsf2	grp
comm	Abl
wnd	kay
da	Su(da<up>lyh</up>)22C1
Pink1	Uch|Pyk
frac	gbb
nanos|skl	hid
SH3PX1	Rab11
ct	Jwa
PlexB	Rac1
Fmr1	Oda
fru	ap
L	dome
Snr1	Rip11
Cul1	Uch
brat	Not1
osk	Su(osk)P2
Sxl	da
ci	dpp
dcma	Ilp2
Mer	yki
arm	L
park	Pyk
Scgδ	Smox
Axud1	hep
Dredd	Tollo
fra	ena
Su(var)3-3	htt
aop	EY3-4
ey	N
Delta|lola|psq	Ip259
trx|brm	Psc
stan	dgo
nkd	tum
Zip42C.1|ZnT63C	ZnT86D
sog	mys
shi	wg
mad2|bsk	CycB
foi	pnt
Pdk1	PRAS40
comm	hid
Bx	Dlw
pic	yki
fz2	hid
png	CycB3
Ptp69D|Ptp10D	sli
Src42A	Su(SuRaf1)10
Egfr|psq	dia
Ubx	Gug
N	lola
Tom40	Tom20
RtGEF|yki	sd
dom	Gcn5
Pten|Ras85D	Tep1|yki
net	HDAC1
Mov10	tkv
fz	bsk
brm	sty
aos	RpL5
Dref	l(2)k06107
lok	stg
tub	tor::tub
gcm	Stat92E
pan	ct
twin	CycA
Gr61a|Gr5a	Gr64a
Vap33	ssh
brm	Argk1
hep	Glyat
hid	Mnr
H	sna
Nsf2	GS8172
sens	esc
Dronc	Usp8
dom	Atg8b
robo1	robo1::robo3
Marf	Fatp1
grim	Imp
mod(mdg4)	Su(mg)1-1
smo	E(smoDN)390
Akt	gig
l(2)gl	Myc
btl	par-6
eas	shi
Dsor1	mam
Ras85D|emei	SERCA
smo	E(smoDN)2243
yki	GlyRS
brat	Mdh1
TER94	Sce
gcm	Su(H)
Myc	vito
pbl	CG13917
Pink1	rictor
sev|Ras85D	brm
bchs	or
Delta	Snr1
msn	BicD
upd1	CycD|Cdk4
yata	hig
stnA	Su(stn)
p38b	mat
Chi	pan
shn	CycE
lncRNA:Hsrω	caz
wb	scb
sno	Delta
dpp|faf	Med
Drp1	Sod1
Rok	hts
CycE	hh
E2f1	htt
Delta	Rap1
Ras85D	cln
RhoGAPp190	mys
otp	Doc2|tll|erm
arr	arr::fz2
Marf	Arl6IP1
His1	mei-41
elav	elav::Rbp9
Efa6	shot
Rho1	α-Cat
pan	tws
BicD	ctp|stau
Sgsf	InR
wek	pll
Ras85D|scrib	Prat
Ire1	Atg12
Dys	wg
dom	Zif
HUWE1	grnd
FIG4	lt
Myd88	BaraA2
msk	mbc|Ced-12
lok	CG6961
pnr	l(3)L0539
N	Nipped-B
B52	Top1
PDZ-GEF	mys
ato	lilli
rno	Delta
CkIIα	Pdfr
asp	Zw10
cindr	nopo
Pvr	EP712
CkIIα	Ank2
Myc	mor
mam	tara
DAAM	stan
trx|brm	ph-d
tefu	Delta
peb	l(2)k15826
Egfr	Pp1-87B
pnr	EP2086
Ret	l(3)S133117
Pi3K92E|btl::Egfr	Cdc42
Rbf|gig	S6k
Pc	CCT5
p53	Surf1
dap|CycE	spen
Fmr1	SCAR
AhcyL1	RnrL
edl	pnt
CtBP|egr	wg
E(z)	Nsf2
Pdk1	Tl
rst	Delta
upd1	px
fog	cta
Acn	Nil
tor	Su(tor)3-8
spin	wg
bchs	αTub84B
bi	ci
pbl	nuf
mt:ATPase6	sesB
Ras85D	santa-maria
eys	crb
Pink1	Tim8
JMJD6	puc
vari	dpy
Myc	sqh
Raf	Taf4
Marcal1	Sce
Fadd	MP1
kermit	fy
imd	GluRIIA
D	dpp
SREBP	out
Rel	Tollo
pnr	EP1113
Ir56b	Ir76b
Mtl	aos
Psn	mGluR
sty	rho-5
Lsd-1	Lsd-2
ct	shn
Lrrk	Dhc64C
nej	kni
Ilp5	Ilp2
c(3)G	vilya
Ras85D|scrib	Atg13|Atg14
Tl	Myb
svr	a
CycE	shg
Txl	CG5445
tup	Sh
Antp	Bap60
pnr	Delta::N
chic	spoon
Dronc	Dredd
sei	e(sei)
numb	Myc
pnr	EP1065
arm	l(3)09291
E2f1	Su(E1)-D
E2f1	Dark
kermit	Dhc64C
Itpr	Rala
l(2)gd1	T48
ct	14-3-3ζ
aos	Prp8
Rac1	Stat92E
Pi3K92E	rictor
Ras85D	BHD
mTor	Hsc70-4
sli	capt
btl|stumps	CHES-1-like
Daxx	foxo
Ras85D	ovo
mtm	crb
sesB	awd
brm	CG6805
dpp|tsg	sog
pbl	Diap1
Vps25	hpo
Pink1	Nox
Noc1	spz
ash1|trx	sxc
Rac1	ck
Ret	DJ-1α
Patronin	hpo
smo	E(smoDN)461
Cip4	wit
grim	GlcT
Tsc1|gig	Cpsf6
bchs	Atg18a
RhoGAP71E	RhoGEF2
FASN1	Pdha
N	par-1
POSH|egr	Pten
su(Hw)|y	Pc
magu	tkv
hid	RasGAP1
peb	unch
edl	aop
Spc105R	Spc105R::Dwil\Spc105R
Pvr	Prp40
mir-let7|mir-125	ab
dlg1	ph-p
faf	shi
E(z)	Su(var)2-1
14-3-3ε	14-3-3ζ
Rac1	bchs
salm	kni
pbl	jing
sl	chico
park	spoon
Ras85D	Vps15
trc	Graf
Atg1	bmm
N	chn
EP596	H
mam	lola
z	Su(z)6
aos	E-3c7
TrpA1	Cam
Fmr1	dlp|Sdc
scrib	Uev1A
pk	Rho1
RpS3|yki	hep
dpp|lolal	sax
spen	Akt
Dhpr	nanos
spi	dpp
Ras85D	dap
Hsc70-5	Pka-C1
w	mor
hid	LIMK1
Su(var)3-3	dpp
pbl	Moe
Nab2	Rbsn-5
Snr1	dia
Uvrag	N
shg	wg
mam	Ada2b
Dad1	bsk
AIF	Trx2
EMC3	Myc
sev|Ras85D	l(3)05143
sax	fuss
Nsf2	GS2192
Creld	Pink1
Hayan	puc
TFAM	crc
Ras85D|scrib	dap
Cdk4|CycD	Dad
E2f1	His2Av
Ras85D	rin
cyst	l(2)gl
tor	Su(tor)2-278
Kr	Mi-2
D	SoxN
Strip	ena
Galt	sgl
Gcna	mei-P22
shop	Gdh
Ret	pan
dom	lilli
Cka	bsk
Raf	Nhe2
Axn	pan|SREBP
smo	lwr
nerfin-1	N
Hrs	rush
Ras85D|scrib	sds22
Pink1	foxo
flw	stck
Ret	msn
velo	Sumo
park	Sod1
lz	E(lz)53
squ	lok
abd-A	rho
gbb	tsg
Ret	ksr
ap|Bx	EP2-430
peb	aop
dock	Arp3
pnr	EP1501
Ubx	e(w<up>e</up>)
hh	sbb
ci	Su(hh)IV
Ras85D|l(2)gl	pan
Raf	Sps1
Nsf2	Yif1
Dscam1	fra
ash1|trx	Sce
Smox	Mad
cindr	ena
shi	PH4αEFB
prd1	Mical
RhoGAP68F	Rab7
peb	heix
Egfr	l(3)S057101
orb2	hyx
sc	z
piwi	l(3)99De
Snr1	Smox
Rho1	CE2-1
RasGAP1|pb	Ras85D
comm	sli
Efa6	stai
Stat92E	wg
Nf1	elav
Rbf|dap	E2f1
Pc	sxc
btl|stumps	Tlk
Marf	Bsg
Vps35	Su(dx)|Ndfip
Raf	pnt
ey	ato::da
pths	Iml1
Eogt|Dcr-2	Dhod
Sox14	Mical
Iswi	ttk
Neto	wit
gcm	esc
shn	Clk
Vps4	Nrg
pbl	Ctf4
Rac1	Ip6k
Ras85D	Dg
Atg1	hiw
tor	Hsp83
grim	klu
cindr	Ltn1
tkv|sax	trio
Ret	neur
Dys	l(2)k03003
cg	dachs
kon	Ptp99A
pbl	mir-14
Dp|E2f1	Nos
CycE	Kdm5
Pink1	Fundc1|Uch
Nsf2	CG32650
Lsd-1	Hsl
Ret	l(3)S056113
TER94	Cat
AP-2α	Delta
lab	Dfd
inv	ph-d
Ras85D|scrib	puc
rpr	Ask1
egr	Rho1
hppy	Tsc1|gig
sli|robo1	Pak
ct	pzg
CycE	tkv|dpp
Egfr	Jra
tut	CstF64
bw	SMC5
Ret	Fak
Su(Tpl)|lilli	Su(H)
ato	kis
yrt	chem
brm|trx	Bap60
spi	cv-c
Cdc42	chic
Nup62	Elys
aop	EY2-5
sc	mod(mdg4)
Ret	park
Ret	kis
Ssdp	CtsF
Snr1	Spn88Eb
N	PRAS40
Ced-12	Rho1
Nlg1	wit
sav	sd
yki	pbl
kst	tum
scrib	Toll-7
Psn	S
aos	p
Cdc23	APC10
Pvr	N
Csk	ena
svp	Dsor1
egr	ben
Apc2|Apc	Ras85D
grim::rpr	Uba1
Marcal1	Iswi
nej	ash1
Sema1a|Fas2	Con
in	in::mwh
chem	cora
mam	RpL38
mir-let7	E2f1
cactin	Rab11
mir-276b	nej
Gαq	PIP5K59B
tra2	tra2::U2af50
kis	Egfr
p53|mrn	bsk
hh	Su(hh)II
Ras85D	Caper
AP-1μ	spdo
sev	BEAF-32
Nsf2	ovo
ncd	lwr
PIP4K	Rab5
Pngl	sgg
Dys	del
HDAC1|Snr1	brm
Kap-α1	Fs(2)Ket
CycE	E(Sev-CycE)A14
Sdc	robo1
Tcs5	S6k
Pink1	Argk1
Rab5	Nrg
sina	Su(Tpl)
RhoGAP92B	Dad
tral	Zfrp8
βTub56D	βTub56D::βTub97EF
Vhl	cnc
Bx	Gαs
