Interactor 1	Interactor 2
Delta	Hsc70-3
if	Dsor1
Ras85D|scrib|Atg13	Atg8a
CycB	chic
N	Lk6
hid	mir-278
Psn	sgg
Sdc	dally
neb	nod
Ssdp	l(3)mbn
TrpA1	Cat
gl	E(gl)2E
peb	vkg
L	rod
AdamTS-B	vn|spi|Krn
bw	HmgZ
iPLA2-VIA	Hsc70-3
Rho1	crb
shg	l(2)dC9
N	pygo
aPKC	pins
bchs	Usp7
park|Pink1	HtrA2
btl|stumps	NFAT
numb	Su(H)
Synd	chp
Ubx	crn
Marcal1	ph-p
Rac1	Abi
CycB	CycA
pbl	mura
Nmnat	Sarm|axed
Pi3K92E|btl::Egfr	sqh
Vps35	ptc
flw	N
pyd	ena
krz	nej
Dsor1	ER2-1
vg	salr
S|DCTN1-p150	Dhc64C
yki	zip
stau|BicD	Lis-1
mir-124	Dcr-1
Mnat9	Jra
Cul4	wts
N	Sos
Acn	Pp2B-14D
hid	aos
Scm	psq
Tm1|osk	Rab11
mew	pot
sna	z
arm|spen	nito
Dcr-1	Myc
bi	dpp
CycB	Dhc64C
fz	sty
LamC	Keap1
if	px
Graf	Egfr
Adv	pan
GluRIIA|GluRIIB	VGlut
nanos|hb	bcd
aub|rump	nanos
Dfd	rpr
Nos	Eip75B
SREBP	Sln
yki	Atg1
Rbf	Hrs
HP1b	htt
kn	Rac1
mxc	bsk
dpp	Egfr
pnr	EP1139
TER94	PTPMT1
Med	Inx3
Arf1	Nrg
pins	Pfdn2
mxc	tub
Uch	Uba3
tsh|Dfd	disco
cm	w|Vps26
sev|Sos	rin
trx|ash1	lawc
Axn	Lkb1
mira	Su(Mir)2
Acn	Pp1-13C
CtBP	pnr
Tg	bsk
Dys	Hipk
Raf::tor	TfIIA-S
CycE	S(CycE<up>JP</up>)2.6
ninaE	Traf4
eas	esg
Pi3K92E	lilli
tal	phyl
synr	Atg1
Raf|scrib	bsk
Ras85D|l(2)gl	mir-79
Pc	CtBP
CaMKII	l(2)38EFd
dally	CycA
Psc	Su(z)2
Uvrag	Stat92E
Raf|RhoGEF2	Rho1
qvr	eag
exu	bcd
Rassf	hop
IP3K2	Itpr
egr	Glyat
lncRNA:roX1	lncRNA:roX1::Dpse\roX1
Plc21C|Itpr|Gαq	SERCA
sgg	aPKC|arm
Dsor1	ER2-7B
p130CAS	mys
Rac2	mbc
Sox21a	upd3
sky	Vps39
Delta	ihog
ey	wg
Syx1A	kis
ND-42	Pdha
fh	Mef2
dpp	vri
btl|stumps	Ip6k
Pten|Ras85D	Tep1
Hecw	orb
Ppt1	Hsc70-3
robo1|gcm	robo2
dx	Nle
ND-42	Vps35
vvl|tup	Lim3
RacGAP84C	Akap200
Pka-R2	CycE
park	fwd
spin	dpp
babo	mTor
msn	bif
Klp64D	arm
psidin	LIMK1
bs	mys
Ubx	RYBP
ptc	kn
H	dpp
Fmr1	dco
E2f1	Doa
lz	E(lz)15
comt|SERCA	Raf
Vap33	Pi4KIIIα
mir-285	mask
robo1	Abl::Hsap\ABL1::Hsap\BCR
dind	E2f1
ft	wg
ph-p	brm
Sxl	Oda
mir-8	Gug
gcm	l(2)gd1
lncRNA:roX1	Spt5
Rho1	fra
Smn	CG16984
chb	dve
Snr1	RpS5b
Ppt1	UbcE2H
hppy	Akt
InR	dap
DCTN1-p150	SG13
Gr59c	Gr28a
DCTN1-p150	Su(H)
robo1|robo3	Abl
Psi	tok
H	CASK
ftz	E(ftz)1427
Sox21a	Mmp2
CycE	phyl
crb	mam
Dp	cass
Dad1	Mekk1
egr|CtBP	mirr
bsk	Pdha
Delta	crb
sina	c(2)M
Frl	Rac1
mts	βTub85D
dpn	mir-ban
dsh	aop
Smox	daw
Pi3K92E	Wdr62
bi	hep
Rab5	Ire1
Pi3K92E|btl::Egfr	igl
TER94	sip3
foxo	wdb
Mer	grk
hop	Phb2
Atg1	Cpsf160
Pss	Lpin
SH3PX1	Rab4
Tm1|osk	E(To)5
Asx	trx
Bx	CtsF
prom|eys	Rho1
Tm1|osk	E(To)10
sick	tsr
hh	hpo
Pink1	AGO1
hyx	aurA
Shrm	ssh
sqh|aurA	zip
sev	Ras85D
aos	SM3-6
Raf	alph
mbt	Src64B
sn|m|f	WASp
fz	Ras85D
dpp	Snr1
Vps35	Mad
ksr::tor	MESK2
hiw	Trpml
upd1	mthl8
numb	insb
Bub3	p38b
SerT	Diap1
ey	ct
Src42A	hep
Cdk1	CycA
CycE	l(2)gl
β-Spec	robo1|sli
TBPH	Diap1
Dsp1	trx
unk	Rheb
ovo	ovo::Bole\ovo
ey|eya|dpp	so
Pink1	sicily
CG5986	Diap1
YME1L	Diap1
egr	spoon
Hcf	Pc
HDAC1	htt
gig	path
bdg	dgo
dlg1	brm
Ras85D	Not3
bsk	Sln
HIPP1	su(Hw)
E2f1|Dp	Rbf
upd1	Sox100B
Ubx	Egfr
rpr	eff
dsh	sgg
shi	ttk
gcl	tor
dom	HDAC1
H	brm
Polr2B	su(RpII140<up>Z36</up>)S14
tay	rho
sws	Appl
H	lilli
Tak1	GluRIIA
RpS3	Diap1
Raf	sty
if	crol
Drak	Sb
Patronin	ex
Pink1	Tsf1
CycB	thr
RpL15	Su(var)205
mei-41	mei-P22
Ret	S
Imp	CycE
shot	wnd
Ras85D::Src64B	aop
Shrm	shot
Der-1	bsk
Pi3K92E|btl::Egfr	fz
atos	CG9331
CycE	S(CycE<up>JP</up>)59S9
faf	Jra
Bx	nuf
Hsc70-5	tko
sky	Vps25
Dref	MFS14
lace	Dsor1
aPKC	Dhc64C
bcd	tor
anchor	sax
H	Smr
egr	fmt
arm	stg
RanGAP	aub
Marcal1	Snr1
Khc	Dhc64C
kay	Jra::kay
Syx17	Pink1
ct	CG46385
egr|Ilp8	CtBP
fra	robo2
cry	hid
mwh	Rho1
TrpA1	ChAT
grim	Uba1
sna	Uch
egh	Pi3K92E
Scr	Gug
smo	E(smoDN)2135
Lsm12a	per
dgo	Delta
Raf|scrib	bsk|ZnT86D
ND-42	NLaz
Ras85D|p53|CycE|Med	Rok
SMC6	mei-W68
CycE	S(CycE<up>JP</up>)2.7
Vps60	N
mir-ban	CycE
Ank2	Debcl
Rpn9	ple
Mical	InR
fzr	Btk
Ppt1	msn
Snr1	Kdm5
Dys	Nrk
robo1|robo2	capt
dysf	Nup153
peb	l(3)neo51
hh	vtd
PlexA	trol
Kr	bun
Atg1	Ras85D
mahe	dx
ea	vri
tow	ck
lgs	arm
Cds	Akt
Dys	spin
yki	nanos
pygo	pan::pygo
rg	S
ago	btl
z	Su(var)205
Su(var)3-3	Hnf4
Bx	H
TAF1B	Utx
Pcl	gpp
Dsp1	ash1
hep|Pvr	Diap1
csw::Src64B	mask
H	E(spl)m8-HLH
Pp2B-14D	sgg
Zip71B	ZnT86D
RhoGEF64C	Rho1
Dg	stan
trr	Egfr
Ubqn	TER94
vex	Nos
ovo	otu
Rtnl1	ReepB
l(1)sc	ptc
park	MTF-1
brat	lncRNA:cherub
dpp	snama
pnr	HDAC1
drpr	Nmnat
crb	ex
Vps25	Atg6
Rac1	tou
SiaT	para
Nf1	Dsor1
mir-305	InR
S6kII	Ras85D
upd1	CG32982
path	acs
Magi	sav
cnk	cno
Srrm1	Dcp-1
Hrs	fz
ich	flz
Snoo	dpp
Diap1	Buffy
L	ush
Pink1	Keap1
Drak	Rho1
yki	chb
brm	Invadolysin
Ret	spi
N	E(Egfr)B56
ocm	msl-2
csw	dpp
TBPH	Syp
pbl	CG11703
